key,speaker,style,wait,text,context
channels.narration.window_one,,normal,false,"The channel pinches here. When the flow surges, the siderophores sheet across the whole span.","Introduces the first timed ferrolure crossing as a readable rhythm puzzle."
channels.endo.window_one,ENDO,normal,false,"Pull them sideways with the lure, then move before the seam fills again.","Endo frames the first window puzzle in practical survival language."
channels.narration.window_two,,normal,false,"Farther in, the return surge comes quicker and the swarm packs tighter against the wall.","Escalates the second timed ferrolure window so the player reads rising pressure."
channels.peris.window_two,PERIS,normal,false,"Same pattern. Less mercy.","Peris names the second lane as a sharper repeat rather than a new mechanic."
channels.narration.recuperate,,normal,false,"Warm light. Dry air. Something to eat before anyone says anything.","Shelter-center payoff in the Channels bit. Keeps the line restrained while making eating part of the fiction."
channels.narration.shortcut,,normal,false,"On the inner wall, a maintenance latch gives. The walk back will be shorter.","Introduces the first Elden Ring-style shortcut lesson from the shelter side."
stacks.narration.enter,,normal,false,"The drainage channels give way to something industrial. Server racks in rows. Cooling systems hum under the floor.","Sets the Processing Stacks as a cold infrastructure room instead of another organic corridor."
stacks.aster.cores,ASTER,normal,false,"These are the processing cores.","Aster identifies the Stacks on sight."
stacks.peris.noisy,PERIS,normal,false,"It's cold in here. And loud. How does anyone work in this?","Peris names the room's hostile texture without making it melodramatic."
stacks.narration.network_address,,data,false,"Aster's overlay isolates a familiar network address on a terminal farther in.","Telegraphs the first Stacks objective through Aster's data layer."
stacks.aster.know_number,ASTER,normal,false,"...I know that number.","The remembered address is the cue that triggers the Engram intro."
stacks.engram.support_log.title,,normal,false,"#ependyma-core // 147 cycles ago","Title shown inside the Engram for the surfaced support-team log."
stacks.engram.support_log.body,,normal,false,"Aster -> #ependyma-core:|holy shit thank you. i was about to be super fucked. the normalization pipeline was breaking my analysis and i had no idea what was going on. you caught it in under an hour. i owe you all several drinks. like the expensive kind.||@pendys (43 minutes later):|we could probably make a drink out of your sweat alone with how much you were producing. you're welcome. don't be a stranger.","Maintenance-log text that introduces Pendys and the support team's voice."
stacks.aster.support_team,ASTER,normal,false,"...oh shit. This is from the support team.","Aster recognizes who owned the thread after the Engram closes."
stacks.aster.drink_machine,ASTER,normal,false,"...damn, I was gonna use their drink machine.","Keeps the joke grounded in Aster's pre-collapse expectations."
stacks.peris.priorities,PERIS,normal,false,"Priorities.","Dry Peris button after the drink-machine line."
stacks.narration.cleaned_terminal,TERMINAL,data,false,"The data has been cleaned and normalized to correct for anomalies.","Visible terminal text. This is the callback to the earlier normalization email."
stacks.aster.cleaner_than_place,ASTER,normal,false,"...the data's a lot cleaner than this place.","Aster immediately notices the mismatch between the system and the room."
stacks.aster.simplodrink,ASTER,normal,false,"They must at least have the Simplodrink model. It must be somewhere.","Keeps the coffee-machine bit tied to world texture and class expectation."
stacks.peris.miss_machine,PERIS,normal,false,"You really miss that drink machine, huh...","Peris needles Aster without deflating the scene."
stacks.aster.expectation,ASTER,normal,false,"It's not about the drink machine. It's about what I expected...","Aster gestures toward disillusionment without fully recognizing it yet."
stacks.narration.instrumented_lane,,normal,false,"One lane of the Stacks reads differently from the rest: warm light, even cable ties, custom labels, metrics the official system never surfaces.","Externalizes the trustworthy subspace before the player has to reason through it."
stacks.aster.nonstandard,ASTER,normal,false,"Huh, non-standard data format. Made some pretty clever choices, though.","Aster clocks that the unofficial instrumentation is more competent than the official feed."
stacks.aster.metrics,ASTER,data,false,"Pump 3 head pressure running fourteen kPa above the thirty-cycle baseline. Coolant inlet drift plus four point two. Filter 2 crossed threshold eleven times since last cycle. Damkohler around point eight and rising.","Dense Aster readout that turns the room into an information puzzle rather than a pure traversal beat."
stacks.peris.damn_cooler,PERIS,normal,false,"Damn cooler?","Peris catches part of the metric stream and lands the joke without fully sharing Aster's frame."
stacks.aster.cooling_part,ASTER,normal,false,"Yeah, the cooling's part of it. Each signal alone is within tolerance for an old system. Together they say the system is failing in a specific way. The bottleneck used to be where the work happened. Now it's in the pipes.","Aster's key inference: infrastructure, not frontline labor, is failing."
stacks.peris.meaning,PERIS,normal,false,"...meaning?","Simple bridge line that invites the interpretation instead of explaining pre-emptively."
stacks.aster.standardization,ASTER,normal,false,"Meaning whoever built these sensors knew exactly what to watch, and official monitoring doesn't measure any of it. This is better data than what we get upstairs. Whoever built this should be on the standardization committee. I need to know who to grab coffee with about it.","Aster is still trying to solve the problem inside a corporate-good-faith frame."
stacks.narration.workspace,,normal,false,"Between two racks, a small workspace survives: a notebook open to the same pump diagram four times over, every earlier sketch crossed out.","Physical set dressing that externalizes careful iteration and fatigue."
stacks.aster.pull_archive,ASTER,normal,false,"Let me see who set this up.","Aster moves from admiring the signal to tracing its author."
stacks.aster.ghost_ids,ASTER,normal,false,"...huh. Requests tagged with worker IDs that don't exist in the personnel database. Hundreds of them. All exempting specific streams from normalization.","The evidence shifts from 'clever maintenance' to 'somebody hid this on purpose.'"
stacks.peris.fake_permissions,PERIS,normal,false,"Someone faking permissions?","Peris states the implication plainly."
stacks.aster.security_patch,ASTER,normal,false,"Someone who knew exactly which streams to exempt and which IDs would pass the surface check. There was a security patch about it six cycles ago. I remember because my simulation was on the audit list. I can't believe they audited me.","Brings in the audit-list beat and the class politics around Aster's self-image."
stacks.aster.not_the_type,ASTER,normal,false,"I'm not the type to do something like that.","Aster reaches for the old self-concept even while the room is disproving it."
stacks.aster.right,ASTER,normal,false,"...right?","Leaves the scene on the unresolved note the player is meant to feel before Aster does."
elevator.aster.multiselect,ASTER,normal,false,"Door's open. Select both of us and send us through together.","Introduces the elevator multi-select tutorial as a diegetic Aster instruction."
elevator.aster.hurry_together,ASTER,normal,false,"We need to hurry to the door together.","Wrong-attempt reminder when the player reaches the elevator door without the proper two-character selection."
