key,speaker,style,wait,text,context
aster_sim.working.thought.01,,thought,false,"Ugh, my monitoring model's off again...",Aster frustrated at desk — model isn't working
aster_sim.working.thought.02,,thought,false,"They keep complaining about just patching things, yet nobody wants to approve my historical data access requests...",Institutional stonewalling — he's trying to do better work
aster_sim.ron.greeting,Ron,normal,false,"Hey hey, star of databank 534b!",Ron checks his device as he walks up
aster_sim.ron.name,Ron,normal,false,"Aster! Your metrics this quarter are disgusting, you beast.",Ron glances at device — read the name off it
aster_sim.ron.working_on,Ron,normal,false,What's the big man working on now?,Ron genuinely curious — sets up Aster showing the terminal
aster_sim.aster.show,Aster,normal,false,"Here, let me show you.",Tutorial beat: player moves Aster to terminal
aster_sim.system.cleaned,,data,false,The data has been cleaned and normalized to correct for anomalies. No further analysis is necessary.,Visible on terminal — set dressing now; most important sentence later
aster_sim.ron.drinks,Ron,normal,false,"That's what I like to see! Exactly the type of thinking that gets perks and no backbreaking manual labor. Speaking of which, enjoy the new drink machine! Unlimited, as always, for top performers like you.",Ron tying initiative to perks — institutional carrot
aster_sim.drink_label,,ui,false,click,Label that appears over the drink machine during tutorial
aster_sim.drink_redirect.thought,,thought,false,I should grab a drink first. I always grab a drink first.,Soft redirect if player wanders away from drink machine
aster_sim.ron.move_fast,Ron,normal,false,"Keep it up! Move fast and break, am I right?",The motto — directive disguised as camaraderie
aster_sim.device.tag_verify,DEVICE,data,false,TAG VERIFICATION — CHECKPOINT 7-B — REPORT WITHIN 15 MINUTES,Device notification
aster_sim.ron.tag_notify,Ron,normal,false,"Ah, sorry to have to pull you out. You're on a roll!",Ron reacts to the device notification
aster_sim.tag_routine,,data,true,Time for Tag Day. Routine.,Aster's flat reaction — waits for player click
